batch,dataset,setting,date,status
3,Ran_2018_dna,cat,Sun Aug  2 07:54:22 NZST 2020,start
4,Ran_2018_dna,real,Sun Aug  2 10:01:19 NZST 2020,finish
4,Ran_2018_dna,real_06,Sun Aug  2 10:01:19 NZST 2020,start
2,Ran_2018_dna,cat,Sun Aug  2 10:06:05 NZST 2020,finish
2,Ran_2018_dna,real_06,Sun Aug  2 10:06:05 NZST 2020,start
5,Ran_2018_dna,quant_cached,Sun Aug  2 10:40:40 NZST 2020,finish
5,Ran_2018_dna,real_06,Sun Aug  2 10:40:40 NZST 2020,start
2,Ran_2018_dna,real_06,Sun Aug  2 23:30:50 NZST 2020,finish
4,Ran_2018_dna,real_06,Sun Aug  2 23:32:21 NZST 2020,finish
4,Ran_2018_dna,quant_06_cached,Sun Aug  2 23:32:21 NZST 2020,start
1,Ran_2018_dna,quant_06_cached,Sun Aug  2 23:32:51 NZST 2020,start
3,Ran_2018_dna,cat,Sun Aug  2 23:41:39 NZST 2020,finish
5,Ran_2018_dna,real_06,Mon Aug  3 00:09:17 NZST 2020,finish
5,Ran_2018_dna,real,Mon Aug  3 00:09:17 NZST 2020,start
2,Broughton_2013,quant_06_cached,Mon Aug  3 16:25:50 NZST 2020,start
5,Ran_2018_dna,real,Mon Aug  3 16:27:05 NZST 2020,finish
4,Ran_2018_dna,quant_06_cached,Mon Aug  3 16:50:40 NZST 2020,finish
4,Broughton_2013,quant_06_cached,Mon Aug  3 16:50:40 NZST 2020,start
1,Ran_2018_dna,quant_06_cached,Mon Aug  3 16:55:24 NZST 2020,finish
1,Broughton_2013,quant_06_cached,Mon Aug  3 16:55:24 NZST 2020,start
2,Broughton_2013,quant_06_cached,Tue Aug  4 01:37:48 NZST 2020,finish
2,Broughton_2013,quant_cached,Tue Aug  4 01:37:48 NZST 2020,start
5,Broughton_2013,quant_06_cached,Tue Aug  4 01:56:18 NZST 2020,start
4,Broughton_2013,quant_06_cached,Tue Aug  4 02:04:42 NZST 2020,finish
4,Broughton_2013,quant_cached,Tue Aug  4 02:04:42 NZST 2020,start
1,Broughton_2013,quant_06_cached,Tue Aug  4 02:08:33 NZST 2020,finish
3,Broughton_2013,quant_06_cached,Tue Aug  4 02:19:18 NZST 2020,start
2,Broughton_2013,quant_cached,Tue Aug  4 11:08:18 NZST 2020,finish
5,Broughton_2013,quant_06_cached,Tue Aug  4 11:11:10 NZST 2020,finish
5,simulated,quant_06_cached,Tue Aug  4 11:11:10 NZST 2020,start
4,Broughton_2013,quant_cached,Tue Aug  4 11:34:30 NZST 2020,finish
4,simulated,real,Tue Aug  4 11:34:30 NZST 2020,start
3,Broughton_2013,quant_06_cached,Tue Aug  4 11:34:37 NZST 2020,finish
1,simulated,cat,Tue Aug  4 11:38:18 NZST 2020,start
1,simulated,cat,Tue Aug  4 14:04:33 NZST 2020,finish
1,simulated,quant_06_cached,Tue Aug  4 14:04:33 NZST 2020,start
4,simulated,real,Tue Aug  4 14:29:46 NZST 2020,finish
4,simulated,quant_cached,Tue Aug  4 14:29:46 NZST 2020,start
2,simulated,cat,Tue Aug  4 14:48:19 NZST 2020,start
5,simulated,quant_06_cached,Tue Aug  4 15:00:04 NZST 2020,finish
5,simulated,quant_cached,Tue Aug  4 15:00:04 NZST 2020,start
3,simulated,quant_cached,Tue Aug  4 15:14:05 NZST 2020,start
2,simulated,cat,Tue Aug  4 17:01:10 NZST 2020,finish
2,simulated,real,Tue Aug  4 17:01:10 NZST 2020,start
1,simulated,quant_06_cached,Tue Aug  4 17:50:51 NZST 2020,finish
1,simulated,real_06,Tue Aug  4 17:50:51 NZST 2020,start
4,simulated,quant_cached,Tue Aug  4 18:08:28 NZST 2020,finish
4,simulated,real_06,Tue Aug  4 18:08:28 NZST 2020,start
5,simulated,quant_cached,Tue Aug  4 18:39:37 NZST 2020,finish
5,simulated,real_adaptive,Tue Aug  4 18:39:37 NZST 2020,start
3,simulated,quant_cached,Tue Aug  4 18:53:13 NZST 2020,finish
3,simulated,real,Tue Aug  4 18:53:13 NZST 2020,start
1,simulated,real_06,Tue Aug  4 19:14:25 NZST 2020,finish
1,simulated,quant_cached,Tue Aug  4 19:14:25 NZST 2020,start
4,simulated,real_06,Tue Aug  4 19:30:57 NZST 2020,finish
2,simulated,real,Tue Aug  4 19:44:01 NZST 2020,finish
2,simulated,quant_cached,Tue Aug  4 19:44:01 NZST 2020,start
5,simulated,real_adaptive,Tue Aug  4 20:05:21 NZST 2020,finish
5,simulated,real_06,Tue Aug  4 20:05:21 NZST 2020,start
5,simulated,real_06,Tue Aug  4 21:29:18 NZST 2020,finish
5,simulated,cat,Tue Aug  4 21:29:18 NZST 2020,start
3,simulated,real,Tue Aug  4 21:35:47 NZST 2020,finish
3,simulated,real_06,Tue Aug  4 21:35:47 NZST 2020,start
1,simulated,quant_cached,Tue Aug  4 22:53:30 NZST 2020,finish
3,simulated,real_06,Tue Aug  4 22:59:46 NZST 2020,finish
3,simulated,quant_06_cached,Tue Aug  4 22:59:46 NZST 2020,start
4,simulated,quant_06_cached,Tue Aug  4 23:08:44 NZST 2020,start
2,simulated,quant_cached,Tue Aug  4 23:22:24 NZST 2020,finish
2,simulated,quant_06_cached,Tue Aug  4 23:22:24 NZST 2020,start
5,simulated,cat,Tue Aug  4 23:43:00 NZST 2020,finish
5,simulated,real,Tue Aug  4 23:43:00 NZST 2020,start
5,simulated,real,Wed Aug  5 02:24:54 NZST 2020,finish
1,simulated,real_adaptive,Wed Aug  5 02:34:22 NZST 2020,start
3,simulated,quant_06_cached,Wed Aug  5 02:44:59 NZST 2020,finish
3,simulated,real_adaptive,Wed Aug  5 02:44:59 NZST 2020,start
4,simulated,quant_06_cached,Wed Aug  5 02:54:03 NZST 2020,finish
4,simulated,cat,Wed Aug  5 02:54:03 NZST 2020,start
2,simulated,quant_06_cached,Wed Aug  5 03:07:24 NZST 2020,finish
2,simulated,real_06,Wed Aug  5 03:07:24 NZST 2020,start
1,simulated,real_adaptive,Wed Aug  5 04:00:02 NZST 2020,finish
1,simulated,real,Wed Aug  5 04:00:02 NZST 2020,start
3,simulated,real_adaptive,Wed Aug  5 04:10:52 NZST 2020,finish
3,simulated,cat,Wed Aug  5 04:10:52 NZST 2020,start
2,simulated,real_06,Wed Aug  5 04:30:43 NZST 2020,finish
2,simulated,real_adaptive,Wed Aug  5 04:30:43 NZST 2020,start
4,simulated,cat,Wed Aug  5 05:07:46 NZST 2020,finish
4,simulated,real_adaptive,Wed Aug  5 05:07:46 NZST 2020,start
2,simulated,real_adaptive,Wed Aug  5 05:56:26 NZST 2020,finish
2,Sauquet_2011,quant_cached,Wed Aug  5 05:56:26 NZST 2020,start
5,Sauquet_2011,quant_cached,Wed Aug  5 06:02:34 NZST 2020,start
3,simulated,cat,Wed Aug  5 06:25:17 NZST 2020,finish
3,Sauquet_2011,quant_cached,Wed Aug  5 06:25:17 NZST 2020,start
4,simulated,real_adaptive,Wed Aug  5 06:31:21 NZST 2020,finish
4,Sauquet_2011,quant_cached,Wed Aug  5 06:31:21 NZST 2020,start
1,simulated,real,Wed Aug  5 06:43:47 NZST 2020,finish
1,Sauquet_2011,quant_06_cached,Wed Aug  5 06:43:47 NZST 2020,start
2,Sauquet_2011,quant_cached,Wed Aug  5 10:21:40 NZST 2020,finish
2,Sauquet_2011,quant_06_cached,Wed Aug  5 10:21:40 NZST 2020,start
5,Sauquet_2011,quant_cached,Wed Aug  5 10:25:38 NZST 2020,finish
5,Sauquet_2011,quant_06_cached,Wed Aug  5 10:25:38 NZST 2020,start
3,Sauquet_2011,quant_cached,Wed Aug  5 10:49:46 NZST 2020,finish
3,Sauquet_2011,quant_06_cached,Wed Aug  5 10:49:46 NZST 2020,start
4,Sauquet_2011,quant_cached,Wed Aug  5 10:56:44 NZST 2020,finish
1,Sauquet_2011,quant_06_cached,Wed Aug  5 10:59:41 NZST 2020,finish
2,Sauquet_2011,quant_06_cached,Wed Aug  5 14:39:42 NZST 2020,finish
5,Sauquet_2011,quant_06_cached,Wed Aug  5 14:43:28 NZST 2020,finish
3,Sauquet_2011,quant_06_cached,Wed Aug  5 15:08:45 NZST 2020,finish
4,Sauquet_2011,quant_06_cached,Wed Aug  5 15:24:25 NZST 2020,start
1,Sauquet_2011,quant_cached,Wed Aug  5 15:30:02 NZST 2020,start
2,Moyle_2016,quant_06_cached,Wed Aug  5 19:09:46 NZST 2020,start
5,Moyle_2016,quant_cached,Wed Aug  5 19:12:00 NZST 2020,start
4,Sauquet_2011,quant_06_cached,Wed Aug  5 19:41:09 NZST 2020,finish
1,Sauquet_2011,quant_cached,Wed Aug  5 19:49:53 NZST 2020,finish
1,Moyle_2016,quant_06_cached,Wed Aug  5 19:49:53 NZST 2020,start
2,Moyle_2016,quant_06_cached,Thu Aug  6 01:43:49 NZST 2020,finish
2,Moyle_2016,quant_cached,Thu Aug  6 01:43:49 NZST 2020,start
1,Moyle_2016,quant_06_cached,Thu Aug  6 02:24:34 NZST 2020,finish
1,Moyle_2016,quant_cached,Thu Aug  6 02:24:34 NZST 2020,start
5,Moyle_2016,quant_cached,Thu Aug  6 02:27:18 NZST 2020,finish
3,Moyle_2016,quant_cached,Thu Aug  6 02:53:46 NZST 2020,start
4,Moyle_2016,quant_cached,Thu Aug  6 02:56:10 NZST 2020,start
2,Moyle_2016,quant_cached,Thu Aug  6 08:54:44 NZST 2020,finish
1,Moyle_2016,quant_cached,Thu Aug  6 09:45:54 NZST 2020,finish
3,Moyle_2016,quant_cached,Thu Aug  6 10:06:48 NZST 2020,finish
4,Moyle_2016,quant_cached,Thu Aug  6 10:07:55 NZST 2020,finish
1,Rightmyer_2013,bactrian95,Thu Aug  6 13:55:35 NZST 2020,start
3,Rightmyer_2013,bactrian95,Thu Aug  6 13:55:48 NZST 2020,start
4,Rightmyer_2013,bactrian95,Thu Aug  6 13:55:58 NZST 2020,start
1,Rightmyer_2013,bactrian95,Thu Aug  6 18:27:26 NZST 2020,finish
3,Rightmyer_2013,bactrian95,Thu Aug  6 18:27:29 NZST 2020,finish
4,Rightmyer_2013,bactrian95,Thu Aug  6 18:33:55 NZST 2020,finish
5,Rightmyer_2013,bactrian95,Thu Aug  6 21:00:20 NZST 2020,start
2,Rightmyer_2013,bactrian95,Thu Aug  6 21:00:33 NZST 2020,start
2,Rightmyer_2013,bactrian95,Fri Aug  7 01:29:47 NZST 2020,finish
5,Rightmyer_2013,bactrian95,Fri Aug  7 01:34:29 NZST 2020,finish
1,Ran_2018_dna,NER,Fri Aug  7 13:16:44 NZST 2020,start
2,Ran_2018_dna,NER,Fri Aug  7 13:16:49 NZST 2020,start
3,Ran_2018_dna,NER,Fri Aug  7 13:16:52 NZST 2020,start
5,Ran_2018_dna,NER,Fri Aug  7 13:16:56 NZST 2020,start
4,Ran_2018_dna,cat_adaptive,Fri Aug  7 13:16:59 NZST 2020,start
1,Ran_2018_dna,NER,Sat Aug  8 02:13:21 NZST 2020,finish
1,Ran_2018_dna,cat_adaptive,Sat Aug  8 02:13:21 NZST 2020,start
3,Ran_2018_dna,NER,Sat Aug  8 02:15:09 NZST 2020,finish
3,Ran_2018_dna,cat_adaptive,Sat Aug  8 02:15:09 NZST 2020,start
2,Ran_2018_dna,NER,Sat Aug  8 02:17:24 NZST 2020,finish
2,Ran_2018_dna,cat_adaptive,Sat Aug  8 02:17:24 NZST 2020,start
5,Ran_2018_dna,NER,Sat Aug  8 02:22:31 NZST 2020,finish
5,Ran_2018_dna,cat_adaptive,Sat Aug  8 02:22:31 NZST 2020,start
4,Ran_2018_dna,cat_adaptive,Sat Aug  8 05:18:17 NZST 2020,finish
4,Ran_2018_dna,NER,Sat Aug  8 05:18:17 NZST 2020,start
3,Ran_2018_dna,cat_adaptive,Sat Aug  8 18:19:43 NZST 2020,finish
3,Ran_2018_dna,bactrian95,Sat Aug  8 18:19:43 NZST 2020,start
2,Ran_2018_dna,cat_adaptive,Sat Aug  8 18:22:15 NZST 2020,finish
2,Ran_2018_dna,bactrian95,Sat Aug  8 18:22:15 NZST 2020,start
1,Ran_2018_dna,cat_adaptive,Sat Aug  8 18:24:49 NZST 2020,finish
1,Ran_2018_dna,bactrian95,Sat Aug  8 18:24:49 NZST 2020,start
4,Ran_2018_dna,NER,Sat Aug  8 18:28:36 NZST 2020,finish
4,Ran_2018_dna,bactrian95,Sat Aug  8 18:28:36 NZST 2020,start
5,Ran_2018_dna,cat_adaptive,Sat Aug  8 18:31:11 NZST 2020,finish
5,Ran_2018_dna,bactrian95,Sat Aug  8 18:31:11 NZST 2020,start
2,Ran_2018_dna,bactrian95,Sun Aug  9 07:28:45 NZST 2020,finish
2,Rightmyer_2013,NER,Sun Aug  9 07:28:45 NZST 2020,start
3,Ran_2018_dna,bactrian95,Sun Aug  9 07:30:06 NZST 2020,finish
3,Rightmyer_2013,cat_adaptive,Sun Aug  9 07:30:06 NZST 2020,start
1,Ran_2018_dna,bactrian95,Sun Aug  9 07:32:21 NZST 2020,finish
1,Rightmyer_2013,NER,Sun Aug  9 07:32:21 NZST 2020,start
4,Ran_2018_dna,bactrian95,Sun Aug  9 07:41:07 NZST 2020,finish
4,Rightmyer_2013,cat_adaptive,Sun Aug  9 07:41:07 NZST 2020,start
5,Ran_2018_dna,bactrian95,Sun Aug  9 07:41:23 NZST 2020,finish
5,Rightmyer_2013,cat_adaptive,Sun Aug  9 07:41:23 NZST 2020,start
2,Rightmyer_2013,NER,Sun Aug  9 12:17:27 NZST 2020,finish
2,Rightmyer_2013,cat_adaptive,Sun Aug  9 12:17:27 NZST 2020,start
1,Rightmyer_2013,NER,Sun Aug  9 12:26:57 NZST 2020,finish
1,Rightmyer_2013,cat_adaptive,Sun Aug  9 12:26:57 NZST 2020,start
3,Rightmyer_2013,cat_adaptive,Sun Aug  9 14:37:36 NZST 2020,finish
3,Rightmyer_2013,NER,Sun Aug  9 14:37:36 NZST 2020,start
4,Rightmyer_2013,cat_adaptive,Sun Aug  9 14:48:04 NZST 2020,finish
4,Rightmyer_2013,NER,Sun Aug  9 14:48:04 NZST 2020,start
5,Rightmyer_2013,cat_adaptive,Sun Aug  9 14:48:21 NZST 2020,finish
5,Rightmyer_2013,NER,Sun Aug  9 14:48:21 NZST 2020,start
2,Rightmyer_2013,cat_adaptive,Sun Aug  9 19:25:32 NZST 2020,finish
2,Broughton_2013,cat_adaptive,Sun Aug  9 19:25:32 NZST 2020,start
3,Rightmyer_2013,NER,Sun Aug  9 19:31:57 NZST 2020,finish
3,Broughton_2013,NER,Sun Aug  9 19:31:57 NZST 2020,start
1,Rightmyer_2013,cat_adaptive,Sun Aug  9 19:35:01 NZST 2020,finish
1,Broughton_2013,bactrian95,Sun Aug  9 19:35:01 NZST 2020,start
5,Rightmyer_2013,NER,Sun Aug  9 19:37:10 NZST 2020,finish
5,Broughton_2013,NER,Sun Aug  9 19:37:10 NZST 2020,start
4,Rightmyer_2013,NER,Sun Aug  9 19:42:55 NZST 2020,finish
4,Broughton_2013,cat_adaptive,Sun Aug  9 19:42:55 NZST 2020,start
3,Broughton_2013,NER,Mon Aug 10 01:40:13 NZST 2020,finish
3,Broughton_2013,bactrian95,Mon Aug 10 01:40:13 NZST 2020,start
1,Broughton_2013,bactrian95,Mon Aug 10 01:41:49 NZST 2020,finish
1,Broughton_2013,cat_adaptive,Mon Aug 10 01:41:49 NZST 2020,start
5,Broughton_2013,NER,Mon Aug 10 01:43:57 NZST 2020,finish
5,Broughton_2013,cat_adaptive,Mon Aug 10 01:43:57 NZST 2020,start
2,Broughton_2013,cat_adaptive,Mon Aug 10 03:33:43 NZST 2020,finish
2,Broughton_2013,NER,Mon Aug 10 03:33:43 NZST 2020,start
4,Broughton_2013,cat_adaptive,Mon Aug 10 03:54:02 NZST 2020,finish
3,Broughton_2013,bactrian95,Mon Aug 10 07:45:37 NZST 2020,finish
2,Broughton_2013,NER,Mon Aug 10 09:41:20 NZST 2020,finish
1,Broughton_2013,cat_adaptive,Mon Aug 10 09:52:02 NZST 2020,finish
5,Broughton_2013,cat_adaptive,Mon Aug 10 09:53:20 NZST 2020,finish
1,Moyle_2016,cat_adaptive,Tue Aug 11 16:37:52 NZST 2020,start
2,Moyle_2016,cat_adaptive,Tue Aug 11 16:37:56 NZST 2020,start
3,simulated,cat_adaptive,Tue Aug 11 16:37:59 NZST 2020,start
5,Moyle_2016,cat_adaptive,Tue Aug 11 16:38:03 NZST 2020,start
4,Sauquet_2011,cat_adaptive,Tue Aug 11 16:38:08 NZST 2020,start
3,simulated,cat_adaptive,Tue Aug 11 19:34:01 NZST 2020,finish
3,Broughton_2013,cat_adaptive,Tue Aug 11 19:34:01 NZST 2020,start
4,Sauquet_2011,cat_adaptive,Tue Aug 11 21:14:30 NZST 2020,finish
4,Moyle_2016,cat_adaptive,Tue Aug 11 21:14:30 NZST 2020,start
1,Moyle_2016,cat_adaptive,Tue Aug 11 22:12:41 NZST 2020,finish
1,Dornburg_2012,cat_adaptive,Tue Aug 11 22:12:41 NZST 2020,start
2,Moyle_2016,cat_adaptive,Tue Aug 11 22:13:37 NZST 2020,finish
2,Dornburg_2012,cat_adaptive,Tue Aug 11 22:13:37 NZST 2020,start
5,Moyle_2016,cat_adaptive,Tue Aug 11 22:14:01 NZST 2020,finish
5,Dornburg_2012,cat_adaptive,Tue Aug 11 22:14:01 NZST 2020,start
2,Dornburg_2012,cat_adaptive,Wed Aug 12 02:47:15 NZST 2020,finish
2,Kawahara_2013,real_adaptive,Wed Aug 12 02:47:15 NZST 2020,start
5,Dornburg_2012,cat_adaptive,Wed Aug 12 02:48:22 NZST 2020,finish
5,Kawahara_2013,cat_adaptive,Wed Aug 12 02:48:22 NZST 2020,start
1,Dornburg_2012,cat_adaptive,Wed Aug 12 02:49:00 NZST 2020,finish
1,Kawahara_2013,real_adaptive,Wed Aug 12 02:49:00 NZST 2020,start
4,Moyle_2016,cat_adaptive,Wed Aug 12 03:01:37 NZST 2020,finish
4,Dornburg_2012,cat_adaptive,Wed Aug 12 03:01:37 NZST 2020,start
2,Kawahara_2013,real_adaptive,Wed Aug 12 05:00:47 NZST 2020,finish
2,Kawahara_2013,cat_adaptive,Wed Aug 12 05:00:47 NZST 2020,start
1,Kawahara_2013,real_adaptive,Wed Aug 12 05:01:33 NZST 2020,finish
1,Kawahara_2013,cat_adaptive,Wed Aug 12 05:01:33 NZST 2020,start
5,Kawahara_2013,cat_adaptive,Wed Aug 12 06:07:06 NZST 2020,finish
5,Kawahara_2013,real_adaptive,Wed Aug 12 06:07:06 NZST 2020,start
3,Broughton_2013,cat_adaptive,Wed Aug 12 06:19:02 NZST 2020,finish
3,Sauquet_2011,cat_adaptive,Wed Aug 12 06:19:02 NZST 2020,start
4,Dornburg_2012,cat_adaptive,Wed Aug 12 07:28:17 NZST 2020,finish
4,Kawahara_2013,real_adaptive,Wed Aug 12 07:28:17 NZST 2020,start
1,Kawahara_2013,cat_adaptive,Wed Aug 12 08:19:41 NZST 2020,finish
1,Cognato_2001,cat_adaptive,Wed Aug 12 08:19:41 NZST 2020,start
2,Kawahara_2013,cat_adaptive,Wed Aug 12 08:19:43 NZST 2020,finish
2,Cognato_2001,cat_adaptive,Wed Aug 12 08:19:43 NZST 2020,start
5,Kawahara_2013,real_adaptive,Wed Aug 12 08:20:19 NZST 2020,finish
5,Cognato_2001,real_adaptive,Wed Aug 12 08:20:19 NZST 2020,start
4,Kawahara_2013,real_adaptive,Wed Aug 12 09:36:48 NZST 2020,finish
5,Cognato_2001,real_adaptive,Wed Aug 12 09:53:50 NZST 2020,finish
5,Cognato_2001,cat_adaptive,Wed Aug 12 09:53:50 NZST 2020,start
2,Cognato_2001,cat_adaptive,Wed Aug 12 10:29:23 NZST 2020,finish
2,Cognato_2001,real_adaptive,Wed Aug 12 10:29:23 NZST 2020,start
1,Cognato_2001,cat_adaptive,Wed Aug 12 10:29:33 NZST 2020,finish
1,Cognato_2001,real_adaptive,Wed Aug 12 10:29:33 NZST 2020,start
3,Sauquet_2011,cat_adaptive,Wed Aug 12 11:04:10 NZST 2020,finish
2,Cognato_2001,real_adaptive,Wed Aug 12 12:02:31 NZST 2020,finish
1,Cognato_2001,real_adaptive,Wed Aug 12 12:02:49 NZST 2020,finish
5,Cognato_2001,cat_adaptive,Wed Aug 12 12:02:50 NZST 2020,finish
1,Ran_2018_dna,quant_cached,Wed Aug 12 12:22:42 NZST 2020,start
2,Ran_2018_dna,quant_cached,Wed Aug 12 12:22:46 NZST 2020,start
3,Ran_2018_dna,quant_cached_adaptive,Wed Aug 12 12:22:50 NZST 2020,start
5,Ran_2018_dna,quant_cached_adaptive,Wed Aug 12 12:22:59 NZST 2020,start
4,Ran_2018_dna,quant_cached_adaptive,Wed Aug 12 12:23:05 NZST 2020,start
1,Ran_2018_dna,quant_cached,Thu Aug 13 15:23:37 NZST 2020,finish
1,Ran_2018_dna,quant_06_cached,Thu Aug 13 15:23:37 NZST 2020,start
2,Ran_2018_dna,quant_cached,Thu Aug 13 15:29:38 NZST 2020,finish
2,Ran_2018_dna,quant_cached_adaptive,Thu Aug 13 15:29:38 NZST 2020,start
4,Ran_2018_dna,quant_cached_adaptive,Thu Aug 13 15:40:02 NZST 2020,finish
4,Ran_2018_dna,quant_06_cached,Thu Aug 13 15:40:02 NZST 2020,start
3,Ran_2018_dna,quant_cached_adaptive,Thu Aug 13 15:45:48 NZST 2020,finish
3,Ran_2018_dna,quant_06_cached,Thu Aug 13 15:45:48 NZST 2020,start
5,Ran_2018_dna,quant_cached_adaptive,Thu Aug 13 15:51:49 NZST 2020,finish
5,Ran_2018_dna,quant_cached,Thu Aug 13 15:51:49 NZST 2020,start
1,Ran_2018_dna,quant_06_cached,Fri Aug 14 18:34:46 NZST 2020,finish
1,Ran_2018_dna,quant_cached_adaptive,Fri Aug 14 18:34:46 NZST 2020,start
4,Ran_2018_dna,quant_06_cached,Fri Aug 14 18:49:54 NZST 2020,finish
4,Ran_2018_dna,quant_cached,Fri Aug 14 18:49:54 NZST 2020,start
5,Ran_2018_dna,quant_cached,Fri Aug 14 19:07:04 NZST 2020,finish
5,Ran_2018_dna,quant_06_cached,Fri Aug 14 19:07:04 NZST 2020,start
3,Ran_2018_dna,quant_06_cached,Fri Aug 14 19:07:27 NZST 2020,finish
3,Ran_2018_dna,quant_cached,Fri Aug 14 19:07:27 NZST 2020,start
2,Ran_2018_dna,quant_cached_adaptive,Fri Aug 14 19:09:42 NZST 2020,finish
2,Ran_2018_dna,quant_06_cached,Fri Aug 14 19:09:42 NZST 2020,start
4,Ran_2018_dna,quant_cached,Sat Aug 15 22:04:12 NZST 2020,finish
4,simulated,quant_06_cached,Sat Aug 15 22:04:12 NZST 2020,start
1,Ran_2018_dna,quant_cached_adaptive,Sat Aug 15 22:15:38 NZST 2020,finish
1,simulated,quant_cached,Sat Aug 15 22:15:38 NZST 2020,start
3,Ran_2018_dna,quant_cached,Sat Aug 15 22:18:45 NZST 2020,finish
3,simulated,quant_06_cached,Sat Aug 15 22:18:45 NZST 2020,start
5,Ran_2018_dna,quant_06_cached,Sat Aug 15 22:22:17 NZST 2020,finish
5,simulated,quant_cached_adaptive,Sat Aug 15 22:22:17 NZST 2020,start
2,Ran_2018_dna,quant_06_cached,Sat Aug 15 22:26:55 NZST 2020,finish
2,simulated,quant_cached_adaptive,Sat Aug 15 22:26:55 NZST 2020,start
4,simulated,quant_06_cached,Sun Aug 16 01:04:25 NZST 2020,finish
4,simulated,quant_cached,Sun Aug 16 01:04:25 NZST 2020,start
3,simulated,quant_06_cached,Sun Aug 16 01:19:21 NZST 2020,finish
3,simulated,quant_cached_adaptive,Sun Aug 16 01:19:21 NZST 2020,start
1,simulated,quant_cached,Sun Aug 16 01:34:36 NZST 2020,finish
1,simulated,quant_cached_adaptive,Sun Aug 16 01:34:36 NZST 2020,start
5,simulated,quant_cached_adaptive,Sun Aug 16 02:26:54 NZST 2020,finish
5,simulated,quant_06_cached,Sun Aug 16 02:26:54 NZST 2020,start
2,simulated,quant_cached_adaptive,Sun Aug 16 02:34:05 NZST 2020,finish
2,simulated,quant_cached,Sun Aug 16 02:34:05 NZST 2020,start
4,simulated,quant_cached,Sun Aug 16 04:25:04 NZST 2020,finish
4,simulated,quant_cached_adaptive,Sun Aug 16 04:25:04 NZST 2020,start
5,simulated,quant_06_cached,Sun Aug 16 05:26:06 NZST 2020,finish
5,simulated,quant_cached,Sun Aug 16 05:26:06 NZST 2020,start
3,simulated,quant_cached_adaptive,Sun Aug 16 05:27:19 NZST 2020,finish
3,simulated,quant_cached,Sun Aug 16 05:27:19 NZST 2020,start
1,simulated,quant_cached_adaptive,Sun Aug 16 05:47:47 NZST 2020,finish
1,simulated,quant_06_cached,Sun Aug 16 05:47:47 NZST 2020,start
2,simulated,quant_cached,Sun Aug 16 05:54:42 NZST 2020,finish
2,simulated,quant_06_cached,Sun Aug 16 05:54:42 NZST 2020,start
4,simulated,quant_cached_adaptive,Sun Aug 16 08:26:17 NZST 2020,finish
4,Rightmyer_2013,quant_06_cached,Sun Aug 16 08:26:17 NZST 2020,start
5,simulated,quant_cached,Sun Aug 16 08:44:29 NZST 2020,finish
5,Rightmyer_2013,quant_cached_adaptive,Sun Aug 16 08:44:29 NZST 2020,start
3,simulated,quant_cached,Sun Aug 16 08:48:18 NZST 2020,finish
3,Rightmyer_2013,quant_06_cached,Sun Aug 16 08:48:18 NZST 2020,start
1,simulated,quant_06_cached,Sun Aug 16 08:50:01 NZST 2020,finish
1,Rightmyer_2013,quant_cached,Sun Aug 16 08:50:01 NZST 2020,start
2,simulated,quant_06_cached,Sun Aug 16 08:58:08 NZST 2020,finish
2,Rightmyer_2013,quant_cached_adaptive,Sun Aug 16 08:58:08 NZST 2020,start
4,Rightmyer_2013,quant_06_cached,Sun Aug 16 18:53:18 NZST 2020,finish
4,Rightmyer_2013,quant_cached,Sun Aug 16 18:53:18 NZST 2020,start
3,Rightmyer_2013,quant_06_cached,Sun Aug 16 19:17:33 NZST 2020,finish
3,Rightmyer_2013,quant_cached_adaptive,Sun Aug 16 19:17:33 NZST 2020,start
1,Rightmyer_2013,quant_cached,Sun Aug 16 19:34:05 NZST 2020,finish
1,Rightmyer_2013,quant_cached_adaptive,Sun Aug 16 19:34:06 NZST 2020,start
5,Rightmyer_2013,quant_cached_adaptive,Sun Aug 16 20:17:30 NZST 2020,finish
5,Rightmyer_2013,quant_06_cached,Sun Aug 16 20:17:30 NZST 2020,start
2,Rightmyer_2013,quant_cached_adaptive,Sun Aug 16 20:29:46 NZST 2020,finish
2,Rightmyer_2013,quant_cached,Sun Aug 16 20:29:46 NZST 2020,start
4,Rightmyer_2013,quant_cached,Mon Aug 17 05:40:00 NZST 2020,finish
4,Rightmyer_2013,quant_cached_adaptive,Mon Aug 17 05:40:00 NZST 2020,start
5,Rightmyer_2013,quant_06_cached,Mon Aug 17 06:44:24 NZST 2020,finish
5,Rightmyer_2013,quant_cached,Mon Aug 17 06:44:24 NZST 2020,start
3,Rightmyer_2013,quant_cached_adaptive,Mon Aug 17 06:49:53 NZST 2020,finish
3,Rightmyer_2013,quant_cached,Mon Aug 17 06:49:53 NZST 2020,start
1,Rightmyer_2013,quant_cached_adaptive,Mon Aug 17 07:04:31 NZST 2020,finish
1,Rightmyer_2013,quant_06_cached,Mon Aug 17 07:04:31 NZST 2020,start
2,Rightmyer_2013,quant_cached,Mon Aug 17 07:17:09 NZST 2020,finish
2,Rightmyer_2013,quant_06_cached,Mon Aug 17 07:17:09 NZST 2020,start
4,Rightmyer_2013,quant_cached_adaptive,Mon Aug 17 17:03:26 NZST 2020,finish
4,Broughton_2013,quant_06_cached,Mon Aug 17 17:03:26 NZST 2020,start
